symbol,sector,market_cap
FLAIR.NS,Industrials,3425
FLEXITUFF.NS,Consumer Cyclical,23
FLFL.NS,Consumer Cyclical,32
FLUOROCHEM.NS,Basic Materials,41413
FMGOETZE.NS,Consumer Cyclical,2631
FMNL.NS,Real Estate,59
FOCUS.NS,Consumer Cyclical,538
FOODSIN.NS,Consumer Defensive,474
FORCEMOT.NS,Consumer Cyclical,25714
FORTIS.NS,Healthcare,71743
FOSECOIND.NS,Basic Materials,3567
FRACTAL.NS,Technology,16433
FRONTSP.NS,,0
FSL.NS,Technology,14937
FUSION.NS,Financial Services,3121
GABRIEL.NS,Consumer Cyclical,14847
GAEL.NS,Consumer Defensive,7203
GAIL.NS,Utilities,109527
GALAPREC.NS,Industrials,995
GALAXYSURF.NS,Basic Materials,6629
GALLANTT.NS,Basic Materials,21051
GANDHAR.NS,Energy,1373
GANDHITUBE.NS,Industrials,1050
GANECOS.NS,Consumer Cyclical,2798
GANESHBE.NS,Basic Materials,736
GANESHCP.NS,Consumer Defensive,842
GANESHHOU.NS,Real Estate,5479
GANGAFORGE.NS,Industrials,38
GANGESSECU.NS,Consumer Defensive,128
