symbol,price,market_cap,sector
CARERATING.NS,1664.0,5000,Financial Services
CARRARO.NS,555.65,3158,Consumer Cyclical
CARTRADE.NS,1624.0,7783,Consumer Cyclical
CARYSIL.NS,896.0,2548,Consumer Cyclical
CASTROLIND.NS,185.32,18330,Energy
CCL.NS,1130.0,15051,Consumer Defensive
CDSL.NS,1273.8,26622,Financial Services
CEATLTD.NS,3450.0,13917,Consumer Cyclical
CEIGALL.NS,334.1,5820,Industrials
CEINSYS.NS,1068.45,2237,Industrials
CELLO.NS,419.6,9268,Consumer Cyclical
CEMPRO.NS,815.25,14004,Industrials
CENTENKA.NS,420.1,917,Consumer Cyclical
CENTEXT.NS,21.79,174,Basic Materials
CENTRALBK.NS,36.43,32974,Financial Services
CENTRUM.NS,24.55,1268,Financial Services
CENTUM.NS,2835.0,4179,Technology
CENTURYPLY.NS,800.0,17773,Basic Materials
CERA.NS,5230.0,6743,Industrials
CESC.NS,188.0,24920,Utilities
CEWATER.NS,308.8,639,Utilities
CGCL.NS,186.35,17929,Financial Services
CGPOWER.NS,813.9,128192,Industrials
CHALET.NS,755.7,16549,Consumer Cyclical
CHAMBLFERT.NS,437.05,17510,Basic Materials
CHEMBOND.NS,154.95,208,Basic Materials
CHEMBONDCH.NS,151.92,408,Basic Materials
CHEMCON.NS,161.6,591,Basic Materials
CHEMFAB.NS,407.2,585,Basic Materials
CHEMPLASTS.NS,229.05,3621,Basic Materials
CHENNPETRO.NS,1123.05,16723,Energy
CHEVIOT.NS,1162.0,678,Consumer Cyclical
CHOICEIN.NS,664.0,14792,Financial Services
CHOLAFIN.NS,1570.5,133857,Financial Services
CHOLAHLDNG.NS,1546.1,29032,Financial Services
CIEINDIA.NS,474.0,17981,Consumer Cyclical
CIFL.NS,28.75,1124,Financial Services
CIGNITITEC.NS,1184.5,3262,Technology
CINELINE.NS,87.0,298,Communication Services
CIPLA.NS,1305.0,105415,Healthcare
CLEAN.NS,820.9,8724,Basic Materials
CLEANMAX.NS,1140.0,13347,Utilities
CLEDUCATE.NS,46.0,249,Consumer Defensive
CLSEL.NS,280.0,1392,Consumer Defensive
CMPDI.NS,181.5,0,Basic Materials
CMSINFO.NS,289.55,4767,Industrials
CNL.NS,615.0,923,Technology
COALINDIA.NS,481.6,296796,Energy
COASTCORP.NS,57.66,386,Consumer Defensive
COCHINSHIP.NS,1740.0,45776,Industrials
COCKERILL.NS,5100.55,0,Industrials
